# DEC     RA      z
0.0304241 2.12132 0.461302
0.0304241 2.74166 0.590945
0.0492171 6.22261 0.565595
0.0466961 8.65241 0.598773
0.0443469 10.0016 0.603854
0.0041253 13.9006 0.467037
0.00693279 13.4282 0.594032
0.0233194 18.9158 0.494113
0.0611346 22.4163 0.467586
0.0464096 22.5043 0.495766
0.0639421 24.8794 0.496968
0.012777 24.2509 0.575747
0.0363828 25.2583 0.635594
0.0245799 30.1569 0.558245
0.0439459 32.4843 0.560775
0.0571239 37.9475 0.509752
0.0095684 31.4022 0.658044
0.0363828 31.5863 0.719643
0.0437167 32.0824 0.72897
0.0489306 47.942 0.506033
0.0398779 57.2169 0.453773
0.00177617 57.2054 0.482628
0.0399352 63.2918 0.468777
0.0161574 55.6829 0.531797
0.0522538 60.1278 0.512279
0.0318565 62.0957 0.51411
0.0549467 63.2942 0.519203
0.0587282 69.0573 0.506072
0.0147823 47.0556 0.701378
0.00996947 50.0115 0.678591
0.00527121 64.3177 0.570634
0.0353515 88.6427 0.515695
0.036612 89.8864 0.532057
0.0271009 72.7014 0.575741
0.0529986 70.6749 0.595937
0.050363 79.4117 0.580005
0.00194806 88.6758 0.584063
0.0261269 73.4118 0.626456
0.00166158 66.2688 0.673862
0.0213713 77.9082 0.642471
0.0143239 74.8668 0.692601
0.0237777 86.6294 0.717005
0.102445 1.50252 0.592333
0.0867458 2.92214 0.537202
0.121066 6.43053 0.487245
0.073797 7.55559 0.556626
0.0641713 10.6974 0.514374
0.0657183 10.0307 0.642245
0.103591 17.2404 0.468252
0.067208 14.9952 0.640702
0.0706457 16.596 0.67831
0.101815 20.5578 0.601509
0.0657756 22.106 0.630465
0.0841102 28.0169 0.529582
0.084454 22.9751 0.713303
0.0752294 35.4123 0.469171
0.125822 36.1373 0.493383
0.0904701 25.8191 0.742953
0.0996947 35.6055 0.569226
0.069156 48.3887 0.463565
0.102388 47.4673 0.503332
0.0547175 36.5775 0.690096
0.0896106 59.6395 0.46316
0.0846259 42.5037 0.644927
0.0609627 51.0061 0.566966
0.128113 71.6452 0.466237
0.0847978 72.6128 0.474556
0.0774066 55.8331 0.584457
0.10044 56.3419 0.59642
0.0968299 89.323 0.48959
0.0976894 49.7288 0.684819
0.0986634 88.4705 0.504975
0.0882928 64.8152 0.586358
0.0762034 52.4306 0.714781
0.0982623 77.1881 0.566404
0.0963143 80.5305 0.575838
0.100268 66.7062 0.64459
0.0532278 65.7028 0.668637
0.0533997 62.2783 0.705646
0.104794 87.5081 0.624677
0.0643432 89.8293 0.639969
0.0952829 81.4839 0.673888
0.0576396 82.2606 0.697667
0.0570666 77.7765 0.743545
0.145016 0.867687 0.467457
0.0963715 3.20564 0.717438
0.165241 5.63447 0.533039
0.145589 7.93684 0.536042
0.142896 12.7887 0.450258
0.170512 16.0239 0.46643
0.133041 14.1417 0.63446
0.117456 14.689 0.668916
0.117456 15.2942 0.7379
0.110294 17.1564 0.705597
0.133041 22.22 0.638585
0.131036 23.5758 0.643127
0.193259 34.1373 0.463113
0.137854 25.0604 0.733461
0.20277 42.5335 0.452656
0.152865 35.5054 0.592905
0.111899 39.8919 0.594859
0.150001 39.3847 0.621588
0.106341 38.6908 0.671278
0.112758 37.7894 0.708622
0.124103 45.3625 0.608224
0.119977 46.1578 0.615424
0.147709 71.1156 0.463501
0.139172 67.792 0.489461
0.167419 56.1086 0.574664
0.13602 67.3747 0.515441
0.153667 51.7889 0.631772
0.12353 47.2625 0.707912
0.173549 67.0645 0.553978
0.124848 47.5105 0.737504
0.128515 48.7812 0.746271
0.143469 73.1271 0.578597
0.125707 86.1185 0.565135
0.0977466 56.0973 0.717627
0.155214 70.7717 0.633403
0.147308 76.2694 0.62288
0.133213 63.7858 0.699633
0.147651 75.2715 0.644337
0.103648 66.5939 0.706699
0.143813 74.4195 0.701303
0.120608 83.036 0.715769
0.212052 0.637416 0.500676
0.165069 2.76807 0.622559
0.219844 4.41584 0.555636
0.187816 5.90273 0.663352
0.181972 9.05554 0.538969
0.217495 13.6852 0.459234
0.172002 12.5639 0.606693
0.199733 15.7626 0.536157
0.214229 21.0312 0.463337
0.2085 17.3925 0.622916
0.222996 26.7252 0.49582
0.198989 22.6793 0.645281
0.144271 22.4149 0.732975
0.181628 30.7846 0.595138
0.227809 40.1634 0.494085
0.171544 36.4586 0.600712
0.165986 37.3167 0.623592
0.16421 39.0565 0.628088
0.219214 53.8674 0.48825
0.184951 38.7685 0.680047
0.191597 49.7253 0.559332
0.180253 41.5216 0.685429
0.202484 57.4746 0.5376
0.183633 54.3345 0.575505
0.241216 73.9444 0.491979
0.152693 46.3976 0.714142
0.14301 46.9903 0.73149
0.196181 81.3889 0.519076
0.221334 82.1048 0.530525
0.210219 69.6809 0.587326
0.19664 69.9136 0.607721
0.141406 54.6427 0.741347
0.198588 84.9688 0.595308
0.16209 76.1479 0.632201
0.147938 60.6219 0.747494
0.152579 87.9573 0.658649
0.147881 75.0659 0.732159
0.157678 78.7355 0.745743
0.260926 1.3979 0.574406
0.282527 3.40188 0.492287
0.27038 4.30429 0.551106
0.217896 4.79193 0.679726
0.224715 6.87017 0.606057
0.23944 10.2266 0.573472
0.213828 11.8417 0.628503
0.275708 15.0201 0.580147
0.234913 14.4599 0.689626
0.238752 17.4084 0.62193
0.268203 23.5269 0.48632
0.208041 20.5772 0.720322
0.207411 21.115 0.746033
0.280349 32.3765 0.497732
0.237778 29.3161 0.601569
0.296278 37.634 0.502893
0.32103 42.0506 0.487319
0.28522 39.8898 0.53279
0.274734 39.9299 0.566772
0.203343 33.2545 0.747108
0.270666 48.7894 0.545306
0.288887 50.6274 0.537636
0.238294 45.7738 0.610779
0.270552 55.1858 0.537113
0.340454 80.3206 0.453397
0.248894 58.0081 0.547638
0.226892 42.7996 0.741499
0.276969 88.7595 0.472443
0.3098 89.6873 0.483813
0.263275 64.6907 0.563345
0.25342 69.819 0.552507
0.258176 84.1947 0.542447
0.237606 72.1018 0.58181
0.249639 83.7969 0.570213
0.262587 80.765 0.584501
0.262759 85.6935 0.590974
0.212568 68.088 0.658846
0.258176 85.3246 0.623491
0.212339 65.262 0.728688
0.196124 74.813 0.712767
0.352543 0.0498473 0.50395
0.283959 1.90107 0.656866
0.307966 3.0624 0.631254
0.307909 4.56372 0.623014
0.354033 9.15558 0.453252
0.300976 8.01413 0.609433
0.378384 13.5721 0.460045
0.331458 13.2336 0.571444
0.304013 12.9409 0.652296
0.337016 16.4065 0.525264
0.27462 14.7689 0.668255
0.305159 17.9044 0.606502
0.232908 17.2049 0.742979
0.303383 21.4197 0.648532
0.371852 31.8649 0.49011
0.359763 32.4961 0.507313
0.330828 30.1134 0.58874
0.277714 26.1024 0.723183
0.356382 36.9559 0.525146
0.275766 32.3124 0.635936
